epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,22154.2,0.3056,1.38404,0.81004,0.49445,0.94896,0.54264,0.53461,0.23792,1.10709,0.78314,2.74472e-05,2.74472e-05,2.74472e-05
40,22697.4,0.3031,1.37652,0.81003,0.49707,0.94963,0.54318,0.53655,0.22436,1.09868,0.78167,2.70116e-05,2.70116e-05,2.70116e-05
41,23239.9,0.3015,1.36891,0.80898,0.49578,0.95253,0.543,0.53594,0.23061,1.09036,0.78184,2.6576e-05,2.6576e-05,2.6576e-05
42,23782,0.29922,1.35255,0.80884,0.49724,0.95561,0.54479,0.53825,0.22574,1.08465,0.78123,2.61404e-05,2.61404e-05,2.61404e-05
43,24325.3,0.29866,1.35256,0.80922,0.4966,0.95651,0.54492,0.5389,0.2208,1.08099,0.78068,2.57048e-05,2.57048e-05,2.57048e-05
44,24878.4,0.29585,1.34453,0.8076,0.49732,0.95283,0.54574,0.53979,0.22061,1.07595,0.7803,2.52692e-05,2.52692e-05,2.52692e-05
45,25431.7,0.29374,1.33201,0.80815,0.49735,0.95675,0.54623,0.54035,0.21942,1.07534,0.78014,2.48336e-05,2.48336e-05,2.48336e-05
46,25984.4,0.29514,1.33791,0.80725,0.49891,0.95522,0.54635,0.54076,0.21594,1.06931,0.77926,2.4398e-05,2.4398e-05,2.4398e-05
47,26537.9,0.29321,1.32574,0.8059,0.4981,0.95826,0.54713,0.5413,0.21903,1.06408,0.7795,2.39624e-05,2.39624e-05,2.39624e-05
48,27089.8,0.28998,1.31589,0.80596,0.49812,0.9565,0.54832,0.54296,0.21498,1.06081,0.77879,2.35268e-05,2.35268e-05,2.35268e-05
49,27641.7,0.28867,1.31073,0.80724,0.49922,0.95714,0.54933,0.5436,0.2169,1.05846,0.77951,2.30912e-05,2.30912e-05,2.30912e-05
50,28193.6,0.2874,1.29913,0.80738,0.49836,0.95775,0.55038,0.54512,0.21438,1.05212,0.77893,2.26556e-05,2.26556e-05,2.26556e-05
51,28745,0.28493,1.29963,0.80707,0.49934,0.95958,0.5506,0.54559,0.2115,1.04989,0.77805,2.222e-05,2.222e-05,2.222e-05
52,29297.8,0.28462,1.29394,0.80548,0.4994,0.95932,0.55043,0.54534,0.21351,1.04867,0.77863,2.17844e-05,2.17844e-05,2.17844e-05
53,29849.6,0.28327,1.28907,0.80651,0.49953,0.95909,0.55278,0.54814,0.207,1.04148,0.77755,2.13488e-05,2.13488e-05,2.13488e-05
54,30401.6,0.28279,1.28264,0.80475,0.50073,0.95805,0.55414,0.54906,0.21307,1.03945,0.77814,2.09132e-05,2.09132e-05,2.09132e-05
55,30953.4,0.28215,1.27809,0.80547,0.50075,0.95862,0.55378,0.54848,0.21644,1.03643,0.77858,2.04776e-05,2.04776e-05,2.04776e-05
