epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,104607,0.09918,0.11636,0.76832,0.90267,0.90203,0.90195,0.90158,0.0688,0.04851,0.75545,3.119e-05,3.119e-05,3.119e-05
40,107297,0.09872,0.11606,0.76834,0.90262,0.90204,0.90195,0.90158,0.06877,0.04853,0.75544,3.0695e-05,3.0695e-05,3.0695e-05
41,109984,0.09853,0.11534,0.7682,0.90267,0.90196,0.90196,0.90158,0.06874,0.04847,0.75543,3.02e-05,3.02e-05,3.02e-05
42,112675,0.09814,0.11426,0.76815,0.9027,0.90194,0.90194,0.90155,0.06871,0.04842,0.75543,2.9705e-05,2.9705e-05,2.9705e-05
43,115362,0.09821,0.11436,0.76817,0.90272,0.90194,0.90192,0.90154,0.06863,0.04836,0.75541,2.921e-05,2.921e-05,2.921e-05
44,118049,0.09788,0.11432,0.76824,0.90273,0.90193,0.90193,0.90156,0.06851,0.04824,0.75541,2.8715e-05,2.8715e-05,2.8715e-05
45,120734,0.09782,0.11291,0.76806,0.90274,0.90193,0.90192,0.90155,0.06849,0.04818,0.7554,2.822e-05,2.822e-05,2.822e-05
46,123422,0.09775,0.11361,0.76816,0.90275,0.90194,0.90192,0.90156,0.06837,0.04812,0.75539,2.7725e-05,2.7725e-05,2.7725e-05
47,126107,0.09744,0.11297,0.76835,0.90278,0.90199,0.90192,0.90155,0.06829,0.04803,0.75537,2.723e-05,2.723e-05,2.723e-05
48,128787,0.09782,0.11263,0.76811,0.90275,0.90202,0.90193,0.90156,0.06817,0.04817,0.75536,2.6735e-05,2.6735e-05,2.6735e-05
49,131463,0.09723,0.11178,0.76797,0.90278,0.90201,0.90193,0.90156,0.06814,0.04842,0.75536,2.624e-05,2.624e-05,2.624e-05
50,134140,0.09689,0.11093,0.76802,0.90281,0.90199,0.90192,0.90156,0.068,0.04843,0.75534,2.5745e-05,2.5745e-05,2.5745e-05
51,136831,0.09705,0.11117,0.76785,0.90282,0.90199,0.90193,0.90156,0.06788,0.04829,0.75532,2.525e-05,2.525e-05,2.525e-05
52,139520,0.09692,0.11068,0.76795,0.90285,0.90196,0.90185,0.90149,0.06771,0.04814,0.7553,2.4755e-05,2.4755e-05,2.4755e-05
53,142210,0.09647,0.11038,0.76789,0.90287,0.90189,0.90186,0.9015,0.06765,0.04807,0.7553,2.426e-05,2.426e-05,2.426e-05
54,144895,0.09634,0.11007,0.76797,0.90287,0.90186,0.90186,0.9015,0.06766,0.04798,0.75529,2.3765e-05,2.3765e-05,2.3765e-05
55,147574,0.09623,0.10959,0.76781,0.90286,0.90188,0.90184,0.90148,0.06765,0.0479,0.75529,2.327e-05,2.327e-05,2.327e-05
56,150255,0.09632,0.10883,0.76757,0.90287,0.90188,0.90184,0.90148,0.06766,0.04788,0.75528,2.2775e-05,2.2775e-05,2.2775e-05
57,152941,0.09685,0.10968,0.76787,0.90292,0.90184,0.90183,0.90147,0.06759,0.04775,0.75528,2.228e-05,2.228e-05,2.228e-05
58,155619,0.09592,0.10875,0.76773,0.90295,0.90182,0.90184,0.90148,0.0675,0.04761,0.75526,2.1785e-05,2.1785e-05,2.1785e-05
59,158299,0.09609,0.10831,0.76764,0.90331,0.90186,0.90206,0.90171,0.06743,0.04745,0.75524,2.129e-05,2.129e-05,2.129e-05
60,160974,0.09596,0.10835,0.76767,0.90335,0.90189,0.90213,0.90178,0.0674,0.04734,0.75523,2.0795e-05,2.0795e-05,2.0795e-05
61,163650,0.09532,0.10772,0.7678,0.90336,0.90188,0.90217,0.90182,0.06736,0.04724,0.75522,2.03e-05,2.03e-05,2.03e-05
62,166325,0.09549,0.10749,0.76766,0.90336,0.90187,0.90221,0.90186,0.06731,0.04716,0.75521,1.9805e-05,1.9805e-05,1.9805e-05
63,169006,0.09549,0.10771,0.76766,0.9034,0.90188,0.90225,0.90191,0.06722,0.04711,0.7552,1.931e-05,1.931e-05,1.931e-05
64,171682,0.09531,0.10665,0.76768,0.90343,0.90183,0.90225,0.90191,0.06722,0.04693,0.7552,1.8815e-05,1.8815e-05,1.8815e-05
65,174365,0.09528,0.10729,0.76756,0.90343,0.90184,0.90225,0.90192,0.06708,0.04681,0.75519,1.832e-05,1.832e-05,1.832e-05
66,177045,0.09502,0.10643,0.76726,0.90344,0.90187,0.90225,0.90192,0.06703,0.04674,0.75518,1.7825e-05,1.7825e-05,1.7825e-05
67,179729,0.09489,0.10638,0.76754,0.90348,0.90187,0.90225,0.90192,0.06692,0.04659,0.75517,1.733e-05,1.733e-05,1.733e-05
68,182416,0.09504,0.10559,0.76751,0.90347,0.90188,0.90226,0.90192,0.06686,0.04656,0.75516,1.6835e-05,1.6835e-05,1.6835e-05
69,185098,0.09482,0.10525,0.7676,0.90347,0.90189,0.90224,0.90191,0.06685,0.04668,0.75514,1.634e-05,1.634e-05,1.634e-05
70,187776,0.09457,0.10483,0.7673,0.90348,0.90187,0.90223,0.9019,0.0668,0.04699,0.75514,1.5845e-05,1.5845e-05,1.5845e-05
71,190459,0.09432,0.10448,0.76743,0.90349,0.90186,0.90225,0.90192,0.06674,0.04709,0.75513,1.535e-05,1.535e-05,1.535e-05
72,193144,0.09446,0.10492,0.76744,0.90349,0.90185,0.90225,0.90193,0.06666,0.047,0.7551,1.4855e-05,1.4855e-05,1.4855e-05
73,195827,0.09418,0.10396,0.76743,0.9035,0.90186,0.90225,0.90192,0.06659,0.04686,0.7551,1.436e-05,1.436e-05,1.436e-05
74,198508,0.09408,0.10344,0.7673,0.90351,0.90186,0.90225,0.90192,0.06643,0.04672,0.75508,1.3865e-05,1.3865e-05,1.3865e-05
75,201190,0.09398,0.10359,0.76739,0.9035,0.90187,0.90228,0.90195,0.06632,0.04661,0.75507,1.337e-05,1.337e-05,1.337e-05
76,203872,0.09395,0.10332,0.76734,0.90391,0.90185,0.90251,0.90219,0.06627,0.04642,0.75506,1.2875e-05,1.2875e-05,1.2875e-05
77,206554,0.09372,0.1031,0.76741,0.90387,0.9019,0.90255,0.90223,0.06618,0.04635,0.75505,1.238e-05,1.238e-05,1.238e-05
78,209237,0.09385,0.10263,0.76723,0.90388,0.90192,0.90261,0.90229,0.06607,0.04624,0.75503,1.1885e-05,1.1885e-05,1.1885e-05
79,211920,0.09357,0.10317,0.76743,0.90388,0.90194,0.90263,0.90232,0.06599,0.04615,0.75502,1.139e-05,1.139e-05,1.139e-05
80,214601,0.09336,0.10197,0.76741,0.9039,0.90194,0.90264,0.90233,0.06592,0.04609,0.75502,1.0895e-05,1.0895e-05,1.0895e-05
